                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2159,                 4.2938,                 2.3235,                0.09827,                 0.8315,                0.32427,                  0.131,                 1.8057,                 3.2765,                 1.7373,             0.00054433,             0.00054433,             0.00054433
                      2,                 1.9241,                 3.3653,                 1.9335,                0.32745,                 0.0338,                0.17117,                0.05613,                 2.1026,                 3.2943,                 2.5334,              0.0010927,              0.0010927,              0.0010927
                      3,                 1.9142,                 2.8638,                 1.9582,                0.27318,                0.47934,                0.30308,                0.11377,                 2.0924,                 2.4408,                 2.2937,              0.0016338,              0.0016338,              0.0016338
                      4,                  1.987,                 2.6483,                 1.9658,                0.36355,                0.66834,                0.38161,                0.15434,                  2.106,                 4.3446,                 2.1606,               0.001634,               0.001634,               0.001634
                      5,                 1.9546,                 2.3893,                 1.9334,                0.27875,                0.39262,                0.25187,                0.08754,                 2.2793,                 2.4258,                 2.6189,               0.001634,               0.001634,               0.001634
                      6,                 1.9502,                 2.2343,                 1.9561,                0.34301,                0.55372,                0.33529,                0.13957,                 2.0984,                 2.2321,                  2.015,               0.001623,               0.001623,               0.001623
                      7,                 1.9065,                 2.1164,                 1.9669,                0.30845,                 0.5877,                0.31472,                0.11089,                 2.2005,                 2.0511,                  2.536,               0.001612,               0.001612,               0.001612
                      8,                 1.9269,                 2.0324,                 1.9548,                0.26189,                0.55877,                0.26109,                0.07148,                 2.2348,                 2.5096,                 2.4923,               0.001601,               0.001601,               0.001601
                      9,                 1.9187,                 1.9687,                  1.934,                 0.3653,                0.69467,                0.39211,                  0.156,                  2.025,                 1.7588,                 1.9884,                0.00159,                0.00159,                0.00159
                     10,                 1.8667,                 1.9148,                 1.8944,                0.37218,                0.77713,                0.41288,                0.18256,                 1.9507,                 1.7333,                 2.1019,               0.001579,               0.001579,               0.001579
                     11,                 1.8926,                 1.8283,                 1.9264,                0.37648,                0.71993,                0.45065,                0.19122,                 1.9866,                 1.7129,                 2.1669,               0.001568,               0.001568,               0.001568
                     12,                 1.8528,                 1.8435,                 1.8815,                0.44804,                0.60072,                0.45777,                0.16903,                 1.9797,                 1.7901,                 2.1383,               0.001557,               0.001557,               0.001557
